"storm_year","max_residual","mean_sea_level"
1908,20.165930779179,62.3461071021648
1909,16.6875435271192,68.5446689497717
1910,15.5367487560987,67.8764269406393
1911,13.3475207158956,66.7110045662101
1912,14.2053221019053,65.3411429872495
1913,12.7124658513673,67.1591552511416
1914,15.9119155986804,67.3327739726027
1915,13.4578691178562,72.2731849315068
1916,14.1943899439492,69.522723132969
1917,15.7022873993134,64.0202511415525
1918,13.1832916106794,65.7550799086758
1919,16.0984085455349,68.5973401826484
1920,14.9667441050152,68.5870901639344
1921,14.3031394286562,71.3931392694064
1922,16.5386029825874,71.7596689497717
1923,13.5098835575567,65.8497831050228
1924,13.8195617024742,65.858822859745
1925,11.7019482578261,62.2659360730594
1926,21.8251176385146,67.4656164383562
1927,16.2510006080505,70.2575913242009
1928,16.0621090899525,67.5995673952641
1929,16.5435501364983,66.3926141552511
1930,14.2969858945075,68.4620890410959
1931,15.556857839466,69.8945547945205
1932,24.7718306854829,66.0639799635701
1933,22.0549627350685,66.5884931506849
1934,17.458633760497,64.100399543379
1935,15.5654502157046,66.5249771689498
1936,15.2825871095468,67.3855988160291
1937,13.6817692122556,68.6894292237443
1938,16.7540517684043,70.5423858447489
1939,13.7354549390543,67.4808675799087
1940,14.9446054049323,71.1950933515483
1941,15.4190785849806,73.0943607305936
1943,13.5821624630136,72.0471213159698
1944,12.9715164962322,72.5729735883424
1945,19.185963146465,71.1069748858447
1946,12.4397441068538,69.9962557077626
1947,15.5572306084973,72.683698630137
1948,13.8871046636379,73.4832764116576
1949,12.0961841428022,71.6964497716895
1950,11.7169932650905,71.0784474885845
1951,16.4864185625563,72.5303767123288
1952,12.4475429668942,68.5307946265938
1953,15.1866667163756,70.1860502283105
1954,13.0549160193234,71.8344406392694
1955,14.2235063714608,71.6528310502283
1956,13.4038928837125,72.1813524590164
1957,13.5092068169184,70.1165525114155
1958,12.360832545629,75.026198630137
1959,11.7392250312272,72.1487442922374
1960,15.4308781084871,73.8927823315118
1961,17.5738700387428,73.8737442922374
1962,17.609613252023,73.1002283105023
1963,13.4771387934449,72.7512442922374
1964,19.2678544686494,71.3904599271403
1965,18.5434692241798,70.2532876712329
1966,12.9810281480418,73.6296347031963
1967,20.3585471016117,70.5544748858448
1968,12.201931387392,71.9837090163934
1969,15.640473321767,71.20399543379
1970,16.0227884988671,73.0161529680365
1971,17.1348668690689,73.9685844748858
1972,14.8359024421109,78.6090163934426
1973,13.1413194592079,82.4388127853881
1974,25.1392930711124,77.2755234933606
1975,13.9383797044842,78.4263470319635
1976,13.7201818449724,76.4797244990893
1977,14.6993091780183,75.4999771689498
1978,12.5121863718764,76.4195200573066
1982,14.659620839982,86.9458561643836
1983,14.9405747367688,81.4391991966863
1984,11.2638686311163,83.9506033697632
1985,14.5711647629729,81.2068378995434
1986,12.2906427211228,81.0365867579909
1987,14.2301238741442,83.6531849315068
1988,14.9308983934555,81.7795651183971
1989,22.7120407675802,77.7291796110919
1990,12.0562143338218,80.7330707762557
1991,16.6914293282894,81.8990296803653
1992,15.6744443667368,84.2268784153005
1993,12.926657239195,83.8832648401826
1994,12.835449280937,81.7213470319635
1995,11.058618639626,82.6737100456621
2004,13.8233673755179,75.9352899575672
2005,14.4932214895643,75.2842777048789
2006,15.1455846808473,72.6009894155545
2007,18.4101653549786,74.634897260274
2008,17.1369741248749,74.5479735883424
2009,25.1929267972374,77.1938356164383
2010,16.1661647954733,77.1832534246575
2011,18.0194281317012,76.6664954337899
2012,13.2170237187153,76.7669487595641
2013,24.0680675920314,78.9256184150252
2014,14.4965948337039,77.763302330922
2015,16.1598598159766,81.5294722412611
2016,16.5318149038573,81.5946152094718
2017,29.8190289441865,79.3628310502283
