"storm_year","max_residual","mean_sea_level"
1888,44.2025731043248,45.2234953703704
1889,48.8387424207816,43.9579908675799
1890,33.2655022949331,45.5331050228311
1891,41.7972533431891,42.72100456621
1892,47.2383818615414,43.4668715846995
1893,39.5845130201927,41.1764840182648
1894,66.6156183480863,49.5610730593607
1895,49.8016353762275,37.7511415525114
1896,35.4055595372184,47.5401867030965
1897,32.6323098040917,35.1711187214612
1898,42.8280060655562,45.6442922374429
1899,50.9498467043318,53.4761142857143
1900,49.5894558122588,44.7336757990868
1901,42.4573523122376,40.7172374429224
1902,38.3447942183999,38.8865296803653
1903,36.4613295187327,48.2142694063927
1904,39.6562224111624,40.3220628415301
1905,37.9581734129388,45.1326484018265
1906,42.9912854280665,48.159703196347
1907,54.6353012649678,42.9805936073059
1908,37.3644708104193,37.5
1909,31.1244765138467,34.9893835616438
1910,41.916712218218,45.5085616438356
1911,35.0219297351691,39.613698630137
1912,55.9130626984233,41.9853142076503
1914,40.1374343803462,48.3714611872146
1915,38.8901812824349,36.3591324200913
1916,44.2134187734265,37.2206284153005
1917,37.8701280887214,32.6021689497717
1918,44.1916989012899,38.7026255707763
1919,38.7095973734334,34.3041095890411
1920,31.8514156090584,42.0905054644809
1921,45.4770113331936,34.289497716895
1922,56.9414379782951,43.7611872146119
1923,40.2749130355246,35.7272831050228
1924,43.2188940287659,42.9515027322404
1925,40.8693162777664,38.6263698630137
1926,45.4858709654791,36.9384703196347
1927,35.5804195306508,41.201598173516
1928,50.4828470144918,31.1969489981785
1929,39.9806284517861,35.5702054794521
1930,34.6328655293983,33.3445205479452
1931,45.1878842354396,33.1994292237443
1932,59.4370207826562,37.7527322404372
1933,33.2306446892531,32.5606164383562
1934,55.3441043698585,28.4390410958904
1935,42.6825574923623,33.0593607305936
1936,47.1583509292597,33.5453096539162
1937,50.8647694058557,27.8448630136986
1938,45.4791745834344,37.4413242009132
1939,51.2094954521933,29.7828767123288
1940,47.3042004396671,16.8504098360656
1941,56.08504524206,23.7220319634703
1942,60.1155283655404,21.062899543379
1943,44.9207302139885,39.950799086758
1944,44.1773217743468,37.997723132969
1945,28.8694932361119,31.208105022831
1946,37.12327209,31.2731361675909
1947,29.2422049042131,16.6206621004566
1948,38.7097365996353,26.2829007285975
1949,40.5406855465395,39.9848173515982
1950,35.144891897849,30.9009132420091
1951,34.7201402603349,24.45
1952,45.0998433102859,28.4031193078324
1953,36.3528004542723,29.1705479452055
1954,52.1893041706156,20.4905251141553
1955,28.4623294460314,32.2654109589041
1956,47.1909840682782,27.7559198542805
1957,28.8506886659282,26.1679223744292
1958,37.0967317693637,29.2619047619048
1959,64.1144635823226,22.8601598173516
1960,45.8591078740108,10.1499316939891
1961,56.8531667038552,26.210502283105
1962,48.6040120828586,30.413698630137
1963,36.2248537955603,17.3834474885845
1964,53.0867296955604,20.5852686703097
1965,41.3585907288989,23.3287671232877
1966,52.7173321131169,21.0922374429224
1967,38.4996368952574,27.7337899543379
1968,62.9347664052828,30.0960837887067
1969,36.5761785744003,8.30981735159817
1970,40.8389182719808,18.1256849315069
1971,41.2614166501798,19.6625570776256
1972,47.7391533223861,16.2262067395264
1973,36.3625909076592,23.7154109589041
1974,44.9970710306833,17.6425799086758
1975,30.6282586161041,27.8017123287671
1976,59.615520316503,18.8377732240437
1977,48.652803808496,9.13219178082192
1978,52.805812183313,14.1463470319635
1979,42.5600107185494,17.108904109589
1980,45.3255845358593,13.3660063752277
1981,32.8802818187647,24.6415525114155
1982,43.6245991736827,24.5599315068493
1983,51.5689939898524,24.2566210045662
1984,62.4746206616844,21.8387978142076
1985,37.2552097589596,13.2590182648402
1986,38.8003572178688,15.5077625570776
1987,38.7600511870205,19.27100456621
1988,44.1521058112711,19.1246584699454
1989,30.7779755917448,29.3348173515982
1990,36.5743259727942,30.273401826484
1991,45.8666467484104,15.3405251141553
1992,38.0773754300429,21.2365664845173
1993,50.4054817321695,18.3382420091324
1994,47.5779261757558,11.5409817351598
1995,33.4884864682286,23.1108447488584
1996,48.5356304450254,-0.408469945355191
1997,43.9699814082449,13.6554794520548
1998,40.1590573251623,13.8916666666667
1999,52.1109716136982,19.4553652968037
2000,60.3567830969442,20.9250910746812
2001,34.1705608940643,11.0045662100457
2002,53.0147013320372,23.6502283105023
2003,48.1900938334175,1.84977168949772
2004,47.2069391545787,13.3171675774135
2005,41.3137651967681,18.5278538812785
2006,37.0141095845705,6.80045662100457
