"storm_year","max_residual","mean_sea_level"
1944,50.7330909391866,264.857581967213
1945,35.293813491889,267.596702164205
1946,48.1064073677544,272.524200913242
1947,40.1839475254453,280.652264566199
1948,38.217125835908,282.275159380692
1949,48.8840356943012,279.876271781078
1950,41.6094272538471,280.442546220454
1951,45.5016523079047,276.004140786749
1952,76.1465966415756,273.925091074681
1953,43.2461051824208,273.414611872146
1954,37.6369972679015,272.48300744879
1956,44.5546942633628,272.371136590229
1957,42.111244893497,270.52899543379
1958,55.0146194638048,271.721347031963
1959,52.0230352721458,272.148515981735
1960,51.5286367774521,274.144808743169
1961,30.447459791505,276.426484018265
1962,40.4487839477136,276.475114155251
1963,40.0275132984897,277.895890410959
1964,32.4037969433056,275.455880522713
1965,88.8430190943747,275.044863013699
1966,43.2296451723507,284.786529680365
1967,47.4819224878381,281.677625570776
1968,42.9578482353311,283.010701275046
1969,45.2628296223338,288.217465753425
1970,37.4183420156222,283.979908675799
1971,41.2274178912962,279.18888252149
1972,34.001755438205,278.612135701275
1973,43.2586851985822,274.212110766402
1974,40.0421321162494,272.278652968037
1975,31.3728677562278,272.009982788296
1976,45.1528325278326,274.895491803279
1977,38.5945087824694,284.182678821879
1978,46.3386807148031,282.544406392694
1979,42.0447502408841,282.324753173484
1980,39.0576790484712,283.184881602914
1981,32.7396719932653,281.102625570776
1982,44.3760714155568,280.839155251142
1983,41.9216254135314,281.682191780822
1985,45.0784936011344,280.42060691602
1986,40.057790751505,279.63477484373
1987,33.8987943890264,279.216801216801
1988,43.1339687099469,286.183675812191
1989,54.9876498541212,284.856701285856
1990,86.5607562389557,282.741117982297
1992,100.289257704016,273.898535804164
1995,43.2628745615861,281.280853902602
1996,42.198671116853,285.212841015992
1997,35.2128593975808,283.598087818697
1998,32.4699364293283,288.02854812398
1999,45.1446885702582,282.17488608952
2000,53.746889498723,281.377970011534
2001,46.4935335739423,289.623366013072
2002,30.9834443341904,284.658308693081
2003,42.4812384919458,287.268184931507
2004,53.0026510256764,285.764941873718
2005,40.8185257419366,284.256627468889
2006,34.9501074747732,283.800057084142
2007,41.0299635608323,287.894511149228
2008,36.3463157999471,284.763793889649
2009,47.1409098648187,286.551940639269
2010,44.2588097885756,290.593949771689
2011,56.1319552731383,288.965410958904
2012,36.5913250787514,285.152795172492
2013,41.5541333697412,291.928530654184
2014,47.935700756985,291.585906117296
2015,44.4696816665721,289.365380223795
2016,41.5150932930803,292.170670613686
