"storm_year","max_residual","mean_sea_level"
1956,41.5493482950712,88.2180205415499
1957,68.4636716549386,92.9684813753582
1958,69.9666767779227,91.7706005586592
1959,47.0381311735475,90.8065068493151
1960,45.5597658238708,94.3657786885246
1961,67.7514456701857,87.9485497237569
1962,47.2169695461896,89.8678040854225
1963,44.1684797577357,88.2822543617998
1964,43.8089409505369,87.2406787487014
1965,52.6773715358567,110.038863249939
1968,61.6699239660675,108.09827645246
1969,58.2788852798256,109.452007383479
1974,44.9750879158177,115.683561643836
1975,52.6116777818089,110.871272308578
1978,39.3356811397137,111.654062751408
1979,51.9100815039375,109.488812785388
1980,33.0417682584632,110.951388888889
1981,43.5416897791364,113.919827786828
1982,41.4843135661615,117.774771689498
1983,35.759685613574,111.123992994746
1984,29.7395578312854,112.710063897764
1985,37.3776530508539,108.707077625571
1986,31.5628979685263,112.737671232877
1987,28.3486976327291,115.0100456621
1988,73.6186932939439,112.960925862267
1989,89.2287553991317,107.781354950782
1990,34.6283622989669,114.554713902809
1991,37.6614223592229,112.377722242056
1992,41.5437975684836,114.214318442153
1993,36.109602519016,114.048981460288
1994,30.4048716617441,112.770771001151
1995,37.1058782423046,113.541943616777
1996,34.1975391273578,115.065229852115
1997,33.578905220431,113.475017190007
1998,38.5814574730997,113.906886296042
1999,42.2399973896774,115.884221429393
2000,27.6146861373817,120.043051273267
2001,29.3454886602426,116.826396055498
2002,35.5942654649008,115.561888111888
2003,29.4071637945613,115.777383134739
2004,36.2742314727973,118.635380722337
2005,46.0850629879075,118.068832983927
2006,42.1394704133996,114.774333752716
2007,49.1505767446942,117.639006523978
2008,42.9522867454228,114.04834663626
2011,31.3083178970205,119.098560986752
2012,62.7551586412,116.061552490596
2013,36.7276675705959,121.116759968011
2014,37.5913542552061,120.1104245337
2015,31.0496471556689,117.923739237392
2016,41.7134591799437,118.779502396713
2017,38.9933133165599,119.8387561532
2018,50.1522914722274,117.061563107907
2019,31.7912883467926,121.196916047973
2020,47.5425599444826,121.237019285633
2021,39.9881340062708,127.084037919549
2022,34.5076531877615,125.506802332228
2023,39.9783586124868,125.949982552053
