file,n,ok_MSL,ok_ANNMAX,overall_ok,notes
cristobal-266a-pan-uhslc_rq_annual.csv,98,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1"
darwin-63230-aus-bom_annual.csv,57,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=3,outlier_spike_n=2"
eastport-8410140-usa-noaa_annual.csv,81,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1,outlier_spike_n=3"
fernandina_beach-8720030-usa-noaa_annual.csv,107,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=2"
fort_myers-8725520-usa-noaa_annual.csv,48,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1"
fort_pulaski-8670870-usa-noaa_annual.csv,83,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1"
fort_pulaski_ga-752-usa-uhslc_fd_annual.csv,83,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1"
fort_pulaski_ga-752a-usa-uhslc_rq_annual.csv,79,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1"
freeport-8772440-usa-noaa_annual.csv,50,False,True,False,"MSL:gappy_years,level_shift_years=1972 | ANNMAX:gappy_years,no_level_shift_detected"
friday_harbor-9449880-usa-noaa_annual.csv,87,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=2,outlier_spike_n=3"
fukue-ma50-jpn-jodc_jma_annual.csv,55,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1"
galveston_pier_21-775-usa-uhslc_fd_annual.csv,109,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=3,outlier_spike_n=4"
galveston_pier_21-775a-usa-uhslc_rq_annual.csv,105,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=3,outlier_spike_n=4"
galveston_pier_21-8771450-usa-noaa_annual.csv,114,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=3,outlier_spike_n=4"
galveston_ppier-767-usa-uhslc_fd_annual.csv,50,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=3,outlier_spike_n=3"
galveston_ppier-767a-usa-uhslc_rq_annual.csv,50,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=3,outlier_spike_n=3"
guam-053-usa-uhslc_fd_annual.csv,65,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=2,outlier_spike_n=1"
hakata-hd18-jpn-jodc_jcg_annual.csv,57,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1,outlier_spike_n=2"
hakodate-364-jpn-uhslc_fd_annual.csv,60,False,True,False,"MSL:gappy_years,level_shift_years=2015 | ANNMAX:gappy_years,no_level_shift_detected"
hakodate-ma06-jpn-jodc_jma_annual.csv,58,False,True,False,"MSL:gappy_years,level_shift_years=2015 | ANNMAX:gappy_years,no_level_shift_detected"
hilo_hawaii-060-usa-uhslc_fd_annual.csv,82,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=4,outlier_spike_n=7"
hiroshima-hd14-jpn-jodc_jcg_aligned_annual.csv,68,False,True,False,"MSL:gappy_years,level_shift_years=1960,outlier_level_n=3,outlier_spike_n=2 | ANNMAX:gappy_years,no_level_shift_detected"
honningsvaagtg-hon-nor-cmems_annual.csv,50,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1"
honolulu-1612340-usa-noaa_annual.csv,107,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=8,outlier_spike_n=9"
honolulu_hawaii-057-usa-uhslc_fd_annual.csv,115,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=6,outlier_spike_n=9"
honolulu_hawaii-057b-usa-uhslc_rq_annual.csv,111,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=6,outlier_spike_n=8"
izuhara-hd23-jpn-jodc_jcg_aligned_annual.csv,67,False,False,False,"MSL:gappy_years,level_shift_years=1962,outlier_level_n=1,outlier_spike_n=2 | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=2,outlier_spike_n=1"
kahului-059-usa-uhslc_fd_annual.csv,67,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=4,outlier_spike_n=4"
kahului-059a-usa-uhslc_rq_annual.csv,63,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=5,outlier_spike_n=5"
kahului-1615680-usa-noaa_annual.csv,63,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=4,outlier_spike_n=3"
key_west-8724580-usa-noaa_annual.csv,109,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=4,outlier_spike_n=6"
key_west_fl-242-usa-uhslc_fd_annual.csv,109,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=4,outlier_spike_n=6"
key_west_fl-242a-usa-uhslc_rq_annual.csv,105,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=4,outlier_spike_n=5"
kuchinotsu-ma48-jpn-jodc_jma_annual.csv,51,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,level_shift_years=1976"
