storm_year,mean_sea_level,max_residual,flags_MSL,flags_ANNMAX
1897.0,260.142724422251,232.263885947568,,
1898.0,267.786089391994,179.220487795582,,
1899.0,259.789667472098,177.8676291785,,
1900.0,257.604003681546,219.316844403219,,
1901.0,265.234440315838,155.090262357626,,
1904.0,264.723170269245,142.625171882862,,
1906.0,262.419143808103,138.503071165133,,
1907.0,258.913631510262,214.697611918873,,
1908.0,268.320380559376,182.162381345005,,
1909.0,263.64656497576,180.288650547457,,
1910.0,268.239659654928,132.607759768725,,
1911.0,259.301025163094,139.676836671994,,
1912.0,250.317285382831,298.516073933299,,
1913.0,262.067204610951,128.092305595758,,
1914.0,253.42469533226,181.570116049054,,
1915.0,247.680088187515,110.348650935121,,
1916.0,257.374284713301,120.051405880078,,
1917.0,258.396000465062,119.70905269618,,
1918.0,259.319681722443,110.009632932271,,
1919.0,266.688634524222,195.457605143412,,
1920.0,256.675597202059,111.562998985728,,
1939.0,254.753029428736,133.568112851514,,
1940.0,258.921613832853,136.651907795177,,
1941.0,255.106896551724,179.29644057252,,
1942.0,263.25327510917,162.258354010657,,
1943.0,256.139197071943,175.931651558355,,
1944.0,253.588094423537,148.598008861083,,
1945.0,263.456299529115,174.717823469731,,
1946.0,261.656885133592,114.10498263406,,
1947.0,264.76033813114,189.574250918292,,
1948.0,258.046801475264,153.719007645428,,
1949.0,254.619957030317,158.046931612961,,
1950.0,248.555313788365,173.761505086324,,
1951.0,264.212010503482,136.611144180411,,
1952.0,269.52452440981,151.095679338958,,
1953.0,263.705579693574,140.029628075967,,
1954.0,265.292343387471,145.864164200886,,
1955.0,270.464783653846,160.412018969178,,
1956.0,257.72934832492,182.701645351188,,
1957.0,255.099075297226,168.745815538748,,
1958.0,266.842057142857,146.376016240529,,
1959.0,254.364758313336,175.320747665227,,
1960.0,267.630702056762,202.393758313172,,
1962.0,256.402511415525,184.337571427822,,
1963.0,252.827065923863,201.939097730175,,
1964.0,253.214594717668,148.566048465412,,
1965.0,245.797374429224,159.1507462755,,
1966.0,257.912328767123,201.004919372596,,
1967.0,257.26894977169,224.548094136443,,
1968.0,257.056238615665,127.995827269085,,
1969.0,259.892237442922,215.280751833259,,
1970.0,258.438406210755,213.995146186807,,
1971.0,263.705707762557,254.710992391808,,
1972.0,257.662640901771,184.040923291148,,
1973.0,272.889937106918,144.883665583082,,
1974.0,265.017351598173,129.104253137894,,
1975.0,265.911073059361,248.609279199865,,
1976.0,260.938540180694,117.048326522899,,
1977.0,258.756728897034,175.680595448041,,
1978.0,261.814611872146,216.372089208314,,
1979.0,255.552031485126,176.820449043992,,
1980.0,253.934399052694,109.463026602935,,
1983.0,263.074673811743,177.982371540817,,
1986.0,252.840774864163,139.628618284799,,
1987.0,253.796134208607,244.747178481552,,
1988.0,251.084828101644,184.167520410901,,
1990.0,248.492523254445,164.220882377432,,
1991.0,255.496119541295,156.553354419706,,
1992.0,250.979403664232,162.583398265311,,
1993.0,258.345784418356,229.595116152583,,
1994.0,260.552493598342,147.909340642711,,
1995.0,254.411474469306,211.361113753413,,
1996.0,258.601492537313,181.858103707361,,
1997.0,264.174902321305,133.186489956189,,
1998.0,266.80055950577,177.691665437023,,
1999.0,248.804214739816,105.462551286624,,
2000.0,252.608805901337,163.830684493775,,
2001.0,250.219216094346,144.89804474578,,
2002.0,249.8831318365,108.248430251227,,
2003.0,243.376277414169,147.864347035425,,
2004.0,255.075207948244,172.139140694737,,
2005.0,254.930400372439,158.079260532341,,
2006.0,256.688044974759,170.381761354683,,
2007.0,254.915434857339,145.481751373417,,
2008.0,253.886579097658,181.156557702123,,
2009.0,256.882447296059,130.643728717587,,
2010.0,256.939085118703,223.003262773953,,
2011.0,263.629468995428,139.799920106858,,
2012.0,256.187865580915,142.819015574118,,
