storm_year,mean_sea_level,max_residual,flags_MSL,flags_ANNMAX
1919.0,496.505136986301,246.857532296164,,
1920.0,502.735883424408,187.496006070728,,
1921.0,494.582420091324,219.65775891851,,
1922.0,496.459931506849,354.002236543257,,
1923.0,498.546803652968,192.65381120495,,
1924.0,500.600865209472,299.194969848191,,
1925.0,501.63196347032,219.990934099896,,
1926.0,503.915753424658,238.933481467482,,
1927.0,507.1350456621,323.300600164002,,
1928.0,496.211862477231,228.532000161248,,
1929.0,497.011415525114,272.113498341518,,
1930.0,498.697260273973,279.970368419663,,
1931.0,503.295662100457,286.171876056349,,
1932.0,505.651980874317,227.817941655234,,
1933.0,501.932534246575,197.892700365193,,
1934.0,497.758904109589,227.886225003332,,
1935.0,502.588242009132,208.794557885368,,
1936.0,503.164959016393,267.491440715585,,
1937.0,502.384589041096,278.328761641281,,
1938.0,505.070091324201,238.269501754041,,
1939.0,499.297146118721,199.126541860873,,
1940.0,492.128301457195,215.1335317083,,
1941.0,497.331735159817,245.95762647605,,
1942.0,491.391324200913,262.636258202025,,
1943.0,509.508219178082,222.497059349074,,
1944.0,508.168260473588,229.533954007316,,
1945.0,506.629680365297,219.906276668208,,
1946.0,506.871118721461,204.420073060164,,
1947.0,489.539383561644,219.341199312321,,
1948.0,503.511612021858,210.816793163213,,
1949.0,512.483333333333,340.94301521148,,
1950.0,506.789155251142,213.329912078149,,
1951.0,504.364155251142,197.133898091725,,
1952.0,506.724385245902,173.616794748222,,
1953.0,505.489269406393,233.861341651152,,
1954.0,499.666780821918,305.286405527845,,
1955.0,511.184589041096,345.533331414433,,
1956.0,505.002732240437,309.226795892895,,
1957.0,504.89600456621,232.722724342154,,
1958.0,506.465068493151,213.189439612308,,
1959.0,505.903767123288,202.317186555541,,
1960.0,495.670309653916,172.223569055871,,
1961.0,512.749771689498,187.75591809145,,
1962.0,515.596347031963,355.552565193868,,
1963.0,497.588470319635,186.279612917596,,
1964.0,503.552823315118,235.988128130941,,
1965.0,509.430593607306,259.617248447729,,
1966.0,511.011643835616,294.129444505225,,
1967.0,519.816095890411,372.394344699414,,
1968.0,517.330373406193,371.446555938421,,
1969.0,501.404452054795,185.746983139721,,
1970.0,509.837214611872,228.008297160997,,
1971.0,511.311301369863,224.679922485733,,
1972.0,501.969945355191,179.624402406587,,
1973.0,507.512785388128,191.802473276833,,
1974.0,508.753881278539,292.598400350409,,
1975.0,516.20102739726,203.135067343122,,
1976.0,505.760359744991,402.513216861382,,
1977.0,503.179908675799,155.884296413943,,
1978.0,506.627739726027,281.733775704866,,
1979.0,505.365525114155,181.925999143656,,
1980.0,503.835610200364,223.275938580148,,
1981.0,515.741210045662,248.761920119691,,
1982.0,516.368607305936,312.103924935779,,
1983.0,517.5,313.087394998127,,
1984.0,510.610769581056,252.465067464353,,
1985.0,504.089726027397,171.122074200554,,
1986.0,503.932077625571,304.299408217435,,
1987.0,509.679337899543,176.958756726334,,
1988.0,513.497153916211,216.316931001422,,
1989.0,515.244178082192,267.736211819419,,
1990.0,517.823173515982,348.093162790366,,
1991.0,510.981849315068,251.021660558902,,
1992.0,512.160746812386,232.57296419491,,
1993.0,508.729452054795,249.25454877762,,
1994.0,510.74897260274,313.904742386977,,
1995.0,522.21997716895,269.753948914206,,
1996.0,498.13012295082,188.494743683637,,
1997.0,510.961529680365,260.987450006337,,
1999.0,519.3283786874,249.867607150762,,
2000.0,520.599338126213,345.725966964065,,
2001.0,509.898264443937,176.056490563545,,
2002.0,523.420872345284,351.195056423244,,
2003.0,509.241848758723,360.710897351717,,
2004.0,516.828183787482,217.453511295069,,
2005.0,518.296698274877,323.983707013727,,
2006.0,510.132693844924,191.22255592563,,
2007.0,524.107950651131,283.321823793266,,
2008.0,524.207929816566,334.957172510446,,
2009.0,513.1024,143.798649882865,,
2010.0,512.838584474886,202.172064525457,,
2011.0,513.703695176701,257.37910022303,,
2012.0,520.123861566484,274.217133069612,,
2013.0,509.054209919262,200.823568064629,,
2014.0,515.896689497717,342.660787022286,,
2015.0,521.143756438137,278.334445358275,,
2016.0,521.531716205444,271.247556756867,,
2017.0,517.492237442922,240.955386954345,,
2018.0,518.716552511416,223.317735803358,,
2019.0,518.357821261014,208.634677246,,
2020.0,525.336965248308,200.672882008851,,
2021.0,517.234360730594,220.177073149832,,
2022.0,525.042038946163,305.143157508459,,
2023.0,520.724657534247,169.415012041164,,
2024.0,532.264574518101,230.019130091456,,
