storm_year,mean_sea_level,max_residual,flags_MSL,flags_ANNMAX
1962.0,100.303196347032,28.2156837029377,,
1963.0,99.8268264840183,24.1828081373237,,
1964.0,101.949965572642,31.1698304531588,,
1965.0,105.702625570776,23.4853926440764,,
1966.0,106.745776255708,27.0924284984954,,
1967.0,105.811757990868,22.6785169593155,,
1968.0,104.376707650273,28.53250733512,,
1969.0,108.202511415525,38.0282877106628,,
1970.0,105.918721461187,26.61816513799,,
1971.0,107.186643835616,30.9794275679522,,
1972.0,108.046448087432,29.8271057830411,,
1973.0,112.051104972376,25.855335734036,,
1974.0,109.859589041096,26.2813656396545,,
1975.0,106.828196347032,24.1537898405355,,
1976.0,106.219603825137,25.297177766909,,
1977.0,104.524657534247,24.7661648679399,,
1978.0,108.396803652968,23.2301758878996,,
1979.0,105.546575342466,31.2423702175627,,
1980.0,104.416829971182,29.0190696902104,,
1981.0,106.99386716038,30.6264985996093,,
1982.0,108.970319634703,33.5620615022262,,
1983.0,105.365185355745,27.5993931355876,,
1984.0,104.89412568306,24.7419322288054,,
1985.0,104.103538812785,30.3590114310693,,
1986.0,105.606621004566,24.1320458437846,,
1987.0,108.170929435944,33.4604622499808,,
1988.0,108.314776867031,25.2026455692818,,
1989.0,104.392795883362,20.7317182774706,,
1990.0,109.484931506849,22.4292297595918,,
1991.0,109.597488584475,24.5939765242864,,
1992.0,110.307832422587,39.6377321575612,,
1995.0,108.375714612394,25.9693135449626,,
1996.0,106.350523679417,28.1514126286625,,
1997.0,107.757876712329,19.4751559976544,,
1998.0,108.866438356164,28.3054760470462,,
1999.0,110.470547945205,33.6155746816974,,
2000.0,113.610200364299,22.1018207615269,,
2001.0,113.158942670786,27.1933829265021,,
2002.0,112.483447488584,24.7297445499496,,
2003.0,112.167808219178,31.985715292202,,
2004.0,113.586520947177,29.2406576774473,,
2005.0,114.982534246575,33.9841460143964,,
2006.0,110.177283105023,25.2912602638873,,
2007.0,113.687242798354,29.8302533277355,,
2008.0,111.933500341608,29.290149223533,,
2009.0,112.850684931507,34.5364684109279,,
2010.0,113.217900172117,23.6206384343543,,
2011.0,114.922260273973,24.8598576995415,,
2012.0,117.488724373576,33.6604287493404,,
2013.0,119.474868631483,22.1880828224631,,
2014.0,118.837671232877,23.3285027906344,,
2015.0,115.550799086758,21.7108571522871,,
2016.0,118.949225865209,33.0496046643777,,
2017.0,120.600570776256,26.6607851180964,,
2018.0,116.897374429224,22.1538032115467,,
2019.0,120.942902820601,31.9631757808937,,
2020.0,120.695810564663,30.6848822627418,,
2021.0,121.914611872146,30.6982940231398,,
2022.0,121.673858447489,35.1534812813569,,
2023.0,123.819385774632,31.9612739754549,,
