filename,AIC_s,BIC_s,AIC_ns,BIC_ns,LRT_stat,LRT_p,beta1,gamma1,slope_MSL,errMSL,slope_res,errresid
baltimore-8574680-usa-noaa_annual,1048.96,1057.35,1118.17,1132.14,-65.21,1.000000000,0.068822,0.000000,0.329549287,0.008190902,0.083232737,0.127503954
bamfield_bc-8545-can-meds_annual,399.41,405.32,409.38,419.23,-5.97,1.000000000,0.277006,0.000000,-0.006742515,0.032786780,0.309167259,0.332870825
bar_harbor-8413320-usa-noaa_annual,547.15,553.67,552.87,563.74,-1.73,1.000000000,-0.122401,0.000000,0.242077770,0.013198353,-0.138661489,0.308776412
bergen-bgo-nor-nhs_annual,641.90,649.40,659.03,671.52,-13.12,1.000000000,0.536713,0.000000,0.078083347,0.014238148,0.607164325,0.186796114
bergentg-ber-nor-cmems_annual,661.17,668.67,658.18,670.68,6.98,0.030482140,0.664786,0.000000,0.020422383,0.012337174,0.768426250,0.245587378
bjorn-2067-swe-smhi_annual,674.03,681.21,680.97,692.94,-2.94,1.000000000,-0.063350,0.000000,-0.633802304,0.030189525,-0.061396345,0.095629986
bjorn-bjo-swe-cmems_annual,657.49,664.67,680.97,692.94,-19.49,1.000000000,-0.063351,0.000000,-0.633798006,0.030190180,-0.061394477,0.095628010
bodo-boo-nor-nhs_annual,454.64,460.66,466.94,476.98,-8.30,1.000000000,0.761831,0.000000,-0.005342288,0.029846792,0.663021966,0.346353310
bodoetg-bod-nor-cmems_annual,469.19,475.32,481.49,491.71,-8.30,1.000000000,0.696246,0.000000,-0.061619888,0.027799448,0.653593953,0.353773016
boston-8443970-usa-noaa_annual,920.78,928.69,951.31,964.49,-26.53,1.000000000,0.357894,0.000000,0.294699736,0.010696607,0.235692350,0.218196948
boston_ma-741a-usa-uhslc_rq_annual,906.70,914.49,915.10,928.07,-4.40,1.000000000,0.492617,0.000000,0.286808513,0.011019406,0.337336568,0.237822893
brest-3-fra-refmar_annual,1324.32,1333.54,1380.77,1396.15,-52.46,1.000000000,0.068758,0.000000,0.133790158,0.006253811,-0.040626646,0.139468596
brest-822-fra-uhslc_fd_annual,1339.77,1349.03,1343.69,1359.13,0.08,0.960907506,0.017185,0.002547,0.133335766,0.006445321,0.001639419,0.135240343
brest-822a-fra-uhslc_rq_annual,1289.06,1298.21,1362.34,1377.59,-69.28,1.000000000,-0.013870,0.000000,0.126339789,0.006587375,0.049312730,0.149835740
bresttg_60minute-bre-fra-cmems_annual,1324.26,1333.49,1380.66,1396.04,-52.40,1.000000000,0.068133,0.000000,0.133840264,0.006257038,-0.040284301,0.139422397
bridgeport-8467150-usa-noaa_annual,542.84,548.87,546.86,556.90,-0.02,1.000000000,-0.097784,0.000000,0.346035887,0.032344374,-0.441023982,0.558721162
buenaventura-085a-col-uhslc_rq_annual,491.36,497.03,488.55,498.01,6.80,0.033316121,-0.787556,-0.031032,0.185411783,0.033018256,-0.739932325,0.598517671
buenos_aires-285a-arg-uhslc_rq_annual,560.80,566.93,554.85,565.06,9.95,0.006900685,2.403086,0.000000,0.132103892,0.039055383,1.898273053,0.675401760
bunbury-62190-aus-bom_annual,440.76,446.73,463.92,473.87,-19.16,1.000000000,0.481406,0.000000,0.190349834,0.044000540,0.496565507,0.291943695
bundaberg_burnett_heads-59820-aus-bom_annual,483.88,489.84,571.38,581.32,-83.50,1.000000000,1.430384,0.000000,0.230621739,0.037718846,-0.012197979,0.495589366
cadiz-cadi-esp-ieo_annual,387.81,393.55,407.49,417.05,-15.67,1.000000000,0.213340,0.000000,0.350344765,0.040052823,0.199759828,0.200325585
callao-093-per-uhslc_fd_annual,351.10,356.83,354.96,364.52,0.14,0.931853018,0.234270,0.000000,-0.114060653,0.036402963,0.183867608,0.191069692
cape_may-8536110-usa-noaa_annual,468.46,474.31,472.65,482.41,-0.20,1.000000000,0.230552,0.000000,0.519436795,0.034701462,0.206387364,0.271739116
cape_may_nj-746a-usa-uhslc_rq_annual,434.52,440.13,438.02,447.37,0.50,0.778692973,0.430914,0.000000,0.501153872,0.042875599,0.333941672,0.315625873
cedar_key-8727520-usa-noaa_annual,895.78,903.41,958.83,971.54,-59.05,1.000000000,1.441989,0.000000,0.236434208,0.012428992,0.587979215,0.334607864
ceuta-207-esp-uhslc_fd_annual,421.24,427.85,418.99,430.01,6.25,0.043894125,0.235158,0.006803,0.067265784,0.015997566,0.222073634,0.195010788
ceuta-207a-esp-uhslc_rq_annual,416.56,423.13,403.06,414.01,17.50,0.000158775,0.281698,-0.005725,0.064847592,0.016382549,0.248970031,0.198606350
ceuta-ceta-esp-ieo_annual,428.70,435.22,446.97,457.84,-14.27,1.000000000,0.391247,0.000000,0.061963973,0.016816074,0.313105058,0.253730186
charleston_sc-261-usa-uhslc_fd_annual,892.89,900.73,959.69,972.77,-62.81,1.000000000,0.038477,0.000000,0.351444261,0.013452848,0.034885810,0.163335471
charleston_sc-261b-usa-uhslc_rq_annual,856.62,864.34,924.60,937.47,-63.98,1.000000000,-0.010007,0.000000,0.339445807,0.013072264,-0.061817443,0.173426618
cherry_point-9449424-usa-noaa_annual,361.68,367.29,374.82,384.17,-9.14,1.000000000,0.556126,0.000000,-0.011112601,0.037627200,0.455759050,0.341849594
chiba-hd06-jpn-jodc_jcg_annual,523.63,529.86,549.24,559.63,-21.61,1.000000000,1.194017,0.000000,0.206645259,0.022438648,1.117809983,0.584126087
churchill-274-can-uhslc_fd_annual,380.82,386.24,392.29,401.32,-7.46,1.000000000,0.371883,0.000000,-1.015863772,0.046697571,0.336210955,0.142548260
churchill-274a-can-uhslc_rq_annual,382.50,387.85,383.53,392.45,2.97,0.226038883,0.331346,0.000000,-1.026994959,0.049091904,0.301866639,0.140183418
churchill-5010-can-meds_annual,568.16,574.73,575.31,586.26,-3.15,1.000000000,0.346091,0.000000,-0.867604536,0.032889245,0.323985722,0.087762268
cordova_alaska-583b-usa-uhslc_rq_annual,300.94,306.08,304.72,313.29,0.21,0.898152809,0.272994,0.000000,-0.012306819,0.052054796,0.008927883,0.327095377
coruna-coru-esp-ieo_annual,531.29,537.95,560.87,571.96,-25.58,1.000000000,0.366671,0.000000,0.257825524,0.024471813,0.048957437,0.148578708
crescent_city-9419750-usa-noaa_annual,655.77,663.03,724.07,736.17,-64.30,1.000000000,-0.239230,0.000000,-0.084170985,0.014508306,0.309702668,0.290499886
crescent_city_ca-556-usa-uhslc_fd_annual,646.33,653.52,709.73,721.71,-59.40,1.000000000,-0.204976,0.000000,-0.084768084,0.014804868,0.354256142,0.299967491
crescent_city_ca-556a-usa-uhslc_rq_annual,610.24,617.27,676.42,688.14,-62.18,1.000000000,-0.299772,0.000000,-0.089150786,0.015593118,0.293634806,0.302326345
cristobal-266-pan-uhslc_fd_annual,323.75,330.49,351.42,362.66,-23.67,1.000000000,-0.095837,0.000000,0.139358999,0.013521122,-0.092447704,0.071180622
cristobal-266a-pan-uhslc_rq_annual,323.75,330.49,351.42,362.66,-23.67,1.000000000,-0.095837,0.000000,0.139358999,0.013521122,-0.092447704,0.071180622
cuxhaven-825-deu-uhslc_fd_annual,1042.40,1050.06,1062.65,1075.42,-16.26,1.000000000,1.606512,0.000000,0.215579073,0.017560316,1.672673504,0.681776722
cuxhaven-825a-deu-uhslc_rq_annual,1035.86,1043.46,1039.74,1052.41,0.11,0.944423861,1.990777,0.000000,0.209582482,0.017883840,2.088779554,0.700364139
cuxhaven_steubenhoft-cux-deu-bfg_annual,1141.49,1149.45,1167.59,1180.86,-22.10,1.000000000,1.900656,0.000000,0.210350410,0.018085942,1.983398137,0.632159129
darwin-63230-aus-bom_annual,499.53,505.66,557.66,567.87,-54.13,1.000000000,-0.733349,0.000000,0.339744323,0.048483141,-0.573666113,0.303061636
degerby-deg-fin-cmems_annual,395.71,401.62,406.08,415.93,-6.37,1.000000000,0.236980,0.000000,-0.059642246,0.058504853,0.311087095,0.175890122
den_helder-denhdr-nld-rws_hist_annual,472.80,478.35,479.46,488.71,-2.65,1.000000000,0.264337,0.000000,0.170668708,0.042626819,0.411204102,1.184840937
den_oever_buiten-denovbtn-nld-rws_hist_annual,502.09,507.64,511.91,521.16,-5.83,1.000000000,-0.558246,0.000000,0.241150356,0.047596731,-0.453265336,1.265392878
draghallan-2062-swe-smhi_annual,491.30,497.82,510.05,520.92,-14.75,1.000000000,0.066133,0.000000,-0.798541542,0.032316438,0.062880559,0.079256328
draghallan-dra-swe-cmems_annual,491.25,497.78,510.01,520.88,-14.75,1.000000000,0.065880,0.000000,-0.798548679,0.032317101,0.062896669,0.079255398
eastport-8410140-usa-noaa_annual,686.59,693.78,736.48,748.45,-45.88,1.000000000,-0.932093,0.000000,0.227708679,0.010828746,-0.571647074,0.223773322
eastport_me-740a-usa-uhslc_rq_annual,679.12,686.22,719.68,731.52,-36.56,1.000000000,-0.787427,0.000000,0.217442476,0.011081064,-0.585893370,0.296369807
esbjerg-esb-dnk-dmi_annual,738.21,744.91,737.62,748.80,4.58,0.101174222,1.167616,0.000000,0.290581456,0.036877404,1.160066617,0.547009202
