filename_x,AIC_s,BIC_s,AIC_ns,BIC_ns,LRT_stat,LRT_p,beta1,slope_MSL,errMSL,slope_res,errresid,filename_y,n_years,completeness,longitude,latitude,country
antofagasta-080-chl-uhslc_fd_annual,429.14,435.84,426.35,435.29,4.78,0.028726833,0.202023,-0.084854411,0.017245320,0.192602309,0.144392516,antofagasta-080-chl-uhslc_fd,81,0.983,-70.4,-23.65,CHL
antofagasta-080a-chl-uhslc_rq_annual,391.55,397.98,392.11,400.69,1.44,0.230854145,0.124489,-0.089855399,0.020296127,0.111317356,0.146388961,antofagasta-080a-chl-uhslc_rq,74,0.9881,-70.405,-23.653,CHL
aomoriko-0104-jpn-jodc_pahb_annual,355.29,361.20,344.24,352.13,13.04,0.000304520,-0.077135,0.846612265,0.061142203,-0.097758388,0.046312991,aomoriko-0104-jpn-jodc_pahb,59,1.0515,140.76388333,40.83528333,JPN
apra_harbor_guam-053a-usa-uhslc_rq_annual,381.27,387.60,372.61,381.05,10.66,0.001093287,-0.144242,0.206916049,0.042903016,-0.143996241,0.062490309,apra_harbor_guam-053a-usa-uhslc_rq,73,1.0118,144.65,13.433,USA
argentia-835-can-meds_annual,385.15,390.64,385.27,392.59,1.88,0.170042687,0.372937,0.309499738,0.032224607,0.295662028,0.399299063,argentia-835-can-meds,55,0.9114,-53.98,47.3,CAN
asamushi-gs06-jpn-jodc_giaj_annual,465.11,471.68,464.81,473.57,2.30,0.129460758,0.295403,0.045480501,0.020759548,0.262162905,0.272938544,asamushi-gs06-jpn-jodc_giaj,70,0.9864,140.85916667,40.8975,JPN
astoria-9439040-usa-noaa_annual,794.78,802.54,773.07,783.41,23.71,0.000001118,0.025924,-0.016148288,0.017241777,0.049795941,0.242677557,astoria-9439040-usa-noaa,101,0.992,-123.768306,46.207306,USA
astoria_or-572a-usa-uhslc_rq_annual,746.75,754.38,746.77,756.94,1.98,0.159514742,0.292056,-0.019018723,0.018065526,0.294454006,0.244217678,astoria_or-572a-usa-uhslc_rq,97,1.0,-123.767,46.208,USA
atlantic_city-264-usa-uhslc_fd_annual,906.52,914.45,908.46,919.04,0.06,0.808234031,0.022079,0.422840662,0.010442956,0.030185719,0.125635780,atlantic_city-264-usa-uhslc_fd,114,0.9995,-74.418,39.355,USA
atlantic_city-8534720-usa-noaa_annual,906.79,914.70,908.79,919.33,0.01,0.939164879,0.007184,0.422149081,0.010572434,-0.019374488,0.127343459,atlantic_city-8534720-usa-noaa,114,0.985,-74.418053,39.356667,USA
atlantic_city_nj-264a-usa-uhslc_rq_annual,872.53,880.34,873.83,884.25,0.70,0.404337716,0.082037,0.415715946,0.010874331,0.091433299,0.138883208,atlantic_city_nj-264a-usa-uhslc_rq,110,1.0041,-74.418,39.355,USA
awashima-hd25-jpn-jodc_jcg_annual,393.75,399.83,395.66,403.76,0.09,0.766060560,-0.035650,0.381170736,0.021524890,-0.277005204,0.154786372,awashima-hd25-jpn-jodc_jcg,60,0.9981,139.255,38.46778333,JPN
bakar-bak-hrv-uz_annual,601.77,608.77,601.23,610.56,2.54,0.110858367,0.347793,0.120431907,0.016355345,0.280337373,0.283418929,bakar-bak-hrv-uz,84,1.1079,14.533,45.3,HRV
balboa-302-pan-uhslc_fd_annual,826.71,834.70,826.27,836.92,2.44,0.117993550,0.124877,0.136799385,0.008455669,0.336005912,0.182835920,balboa-302-pan-uhslc_fd,112,0.9898,-79.573,8.962,PAN
balboa-302a-pan-uhslc_rq_annual,835.26,843.28,834.70,845.39,2.56,0.109645743,0.128024,0.135883203,0.008209786,0.352824050,0.180067186,balboa-302a-pan-uhslc_rq,112,0.9965,-79.573,8.965,PAN
baltimore-8574680-usa-noaa_annual,1048.96,1057.35,1050.52,1061.70,0.44,0.505677586,0.052629,0.329549287,0.008190902,0.083232737,0.127503954,baltimore-8574680-usa-noaa,124,0.9959,-76.579444,39.266944,USA
bamfield_bc-8545-can-meds_annual,399.41,405.32,400.13,408.02,1.28,0.258637233,0.271044,-0.006742515,0.032786780,0.309167259,0.332870825,bamfield_bc-8545-can-meds,57,0.9531,-125.14,48.84,CAN
