"storm_year","max_residual","mean_sea_level"
1969,108.952876472074,354.894092054042
1970,59.5878306595455,351.775911986103
1971,111.52482301851,353.124171807174
1972,113.721770072004,353.250328436642
1973,42.8806372371067,356.824545245222
1974,50.743969205299,353.01705195697
1975,100.727025067627,352.924322462104
1976,28.4860395381931,354.817736236179
1977,99.2472931493719,349.284093513637
1978,31.000803646621,352.775684931507
1979,35.2366882538527,349.780203606035
1981,106.615665429675,353.516221255438
1983,31.7707310061427,350.220662100457
1984,35.4514433428182,349.104458299024
1987,40.9760407785951,352.380021329541
1988,62.7739252909385,353.179629183723
1989,27.3197979129921,350.8226093139
1990,36.9562758112937,355.153652968037
1991,35.926969181087,350.584931506849
1992,118.37649452673,356.22131147541
1993,34.3405596419419,353.672488584475
1994,71.5835984704345,354.758561643836
1995,31.9836902179195,354.534703196347
1996,43.8217817564151,350.393097163686
1997,53.6250370206855,355.24396690416
1998,39.5699471388683,358.16598173516
1999,33.6075310971241,357.522831050228
2000,34.8050943137209,360.942268276019
2001,42.0459900579822,359.090182648402
2002,27.5630802649994,358.095433789954
2003,58.3082964202134,357.802283105023
2004,29.9004574275276,359.525273224044
2005,103.116130425584,358.875114155251
2006,56.7591194956166,356.473401826484
2007,85.8673344502326,360.434132420091
2008,25.0863661141447,359.020036429873
2009,30.1164901676915,357.755365296804
2010,30.7727499159841,359.883219178082
2011,26.1981344877432,359.82995766106
2012,44.9250863158942,364.36420740064
2013,41.700665024871,365.574088883811
2014,27.8822200864301,361.491324200913
2015,51.1956511390819,361.114611872146
2016,37.4758067415791,364.638091985428
2017,31.0676945850041,363.891210045662
2018,35.5250467333345,359.782534246575
2019,43.6716168468914,363.301895409911
2020,61.4074550757694,362.43385701275
2021,62.7553521484763,364.348287671233
2022,31.4532047205291,366.549315068493
2023,44.9903944293509,365.240520785747
