"storm_year","max_residual","mean_sea_level"
1964,28.067837837442,172.512626262626
1965,32.3280430467586,175.476259165765
1966,40.5082215745225,175.035083615951
1967,29.1073231622436,174.704616452621
1968,34.6135138742982,176.021628649096
1969,32.6994484870215,180.681392694064
1970,49.0260632847868,183.272906062008
1971,24.2323743424521,183.03549382716
1972,31.19884797924,183.804758652095
1973,26.2554728603968,187.479328460484
1974,23.7686175559212,185.781392694064
1975,25.3579585891163,185.617808219178
1976,21.1517579232199,186.45064328817
1977,26.3884346852154,185.590182648402
1978,33.7132975650741,186.284246575342
1979,36.4660551834891,187.229908675799
1980,46.6379220046014,189.726320582878
1981,41.1379474651471,190.762003933819
1982,57.58414769306,192.371803652968
1983,35.2876103734642,190.998172055295
1984,21.8859800690055,190.935109289617
1985,29.9410175697276,187.75605022831
1986,33.302783849141,191.490807354117
1987,28.5092119932315,190.686872146119
1988,30.7563022105322,190.071493624772
1989,23.4830293338808,187.914155251142
1990,25.7565199024901,190.079337899543
1991,39.8086204494613,193.32203196347
1992,31.7277923634865,194.163820582878
1993,31.1644796548412,193.312214611872
1994,40.1638869345985,192.786757990868
1995,25.2873660002147,195.087691253711
1996,24.4958557195647,197.978825136612
1997,29.1798257298848,195.91803652968
1998,25.8443257733819,196.482534246575
1999,42.9744730923119,198.779566210046
2000,33.5911391577302,200.098246812386
2001,27.5163730125932,197.924200913242
2002,32.7175724910914,196.561279268989
2003,37.0801176760955,197.47100456621
2004,29.1682669386549,199.171903460838
2005,40.5784987279157,199.669063926941
2006,30.7903103773597,199.1649543379
2007,47.6734892285525,201.003771428571
2008,25.4600559661542,200.246810933941
2009,32.4893396134459,200.669748858447
2010,37.3385570965466,203.199565912726
2011,42.8639297430507,224.694790343075
2013,36.2879450152016,275.609632446134
2014,52.4298370337307,270.898161890627
2015,42.6957985810485,264.394814984011
2016,39.86654743437,263.006830601093
2017,49.2585297644394,259.216780821918
2018,47.3768384200459,250.294896677703
2019,37.1035889617479,248.426141552511
2020,39.710489972115,243.999088838269
2021,41.0031431209061,241.833789954338
2022,26.6381227130824,238.977597439707
2023,26.950820122083,235.879680365297
